Player,Position,Prop,Line,Opponent,Odds Over,Odds Under,Implied Over,Implied Under,EV Over,EV Under,Avg Stat L10,Med Stat L10,Std Stat L10,Z Score,Prob Over,Prob Under,OVER L5,OVER L10,OVER L15,Avg Min L10,Std Min L10,Avg USG% L10,Std USG% L10,Avg Stat vs Matchup,Matchup Games,Spread,Total,Opp Def Rating,Opp Def Rank,Opp Pace,Opp Pace Rank
Rudy Gobert,C,REB+AST,13.5,Detroit Pistons,-115,-110,0.535,0.524,-14.0,3.09,13.1,13.0,3.96,0.101,0.46,0.54,0.6,0.5,0.6,31.62,4.73,0.13,0.04,15.5,2.0,1.5,221.0,108.7,2,100.03,18
Dyson Daniels,PG,REB+AST,12.5,Sacramento Kings,102,-115,0.495,0.535,-14.76,8.06,11.8,13.0,3.58,0.196,0.422,0.578,0.4,0.6,0.6,30.86,4.46,0.15,0.03,12.5,2.0,-14.5,236.5,120.2,28,100.31,17
Malik Monk,SG,PTS,15.5,Atlanta Hawks,105,-105,0.488,0.512,-14.93,14.21,13.3,9.0,10.23,0.215,0.415,0.585,0.4,0.3,0.33,21.94,7.47,0.25,0.07,9.0,1.0,14.5,236.5,113.1,11,102.59,4
DeMar DeRozan,SF,REB+AST,7.5,Atlanta Hawks,-113,100,0.531,0.5,-15.37,10.2,7.0,7.5,3.92,0.128,0.449,0.551,0.8,0.5,0.47,30.13,7.5,0.24,0.08,7.0,2.0,14.5,236.5,113.1,11,102.59,4
Rudy Gobert,C,PTS+REB+AST,26.5,Detroit Pistons,-105,-109,0.512,0.522,-16.44,9.68,25.0,26.5,8.25,0.182,0.428,0.572,0.6,0.5,0.47,31.62,4.73,0.13,0.04,28.0,2.0,1.5,221.0,108.7,2,100.03,18
Rudy Gobert,C,PTS+REB,24.5,Detroit Pistons,-111,105,0.526,0.488,-16.55,15.01,23.2,25.0,8.43,0.154,0.439,0.561,0.6,0.5,0.47,31.62,4.73,0.13,0.04,28.0,2.0,1.5,221.0,108.7,2,100.03,18
Brandon Miller,SF,PTS+REB+AST,28.5,Boston Celtics,-123,105,0.552,0.488,-17.33,11.52,27.6,26.5,8.13,0.111,0.456,0.544,0.6,0.4,0.4,30.74,3.48,0.23,0.02,25.5,2.0,-2.5,215.5,111.5,4,95.47,30
Brandon Miller,SF,PTS+REB+AST,28.5,Philadelphia 76ers,-123,105,0.552,0.488,-17.33,11.52,27.6,26.5,8.13,0.111,0.456,0.544,0.6,0.4,0.4,30.74,3.48,0.23,0.02,26.8,5.0,-6.5,230.5,114.8,17,100.33,16
Jalen Duren,C,PTS+REB+AST,35.5,Minnesota Timberwolves,-110,-120,0.524,0.545,-17.91,4.5,34.3,32.5,6.8,0.176,0.43,0.57,0.2,0.2,0.33,27.02,6.45,0.27,0.05,21.0,2.0,-1.5,221.0,112.2,6,101.42,9
Isaac Okoro,SF,PTS,10.5,Memphis Grizzlies,-111,-111,0.526,0.526,-18.45,8.54,9.8,9.5,3.94,0.178,0.429,0.571,0.2,0.4,0.4,32.01,4.28,0.14,0.03,6.5,2.0,-4.5,246.0,117.2,22,101.41,10
